order_date,customer_id,product_id,product_category,revenue,quantity,region,customer_acquisition_channel
26/11/2023,C1905,P0065,Networking,2853.36,4,South West,Referral
07/06/2024,C1939,P0085,Smartphones,2673.02,2,South East,Organic
10/12/2023,C0383,P0090,Networking,884.48,2,West Midlands,Organic
23/07/2023,C0604,P0053,Accessories,755.89,1,London,Organic
01/05/2024,C2504,P0007,Laptops,476.34,1,South West,Paid
19/07/2023,C2943,P0088,Accessories,7722.04,4,South West,Paid
01/06/2023,C2688,P0020,Laptops,1472.98,1,South East,Social
13/08/2023,C0721,P0090,Networking,1768.96,4,London,Referral
05/05/2023,C1870,P0023,Tablets,3334.68,2,South West,Referral
21/11/2023,C1813,P0071,Laptops,6990.04,4,South West,Social
01/05/2024,C1844,P0080,Tablets,1550.79,3,Scotland,Social
11/10/2023,C2136,P0049,Tablets,1289.12,4,Scotland,Organic
21/03/2023,C2923,P0030,Accessories,1776.15,3,Scotland,Organic
24/11/2023,C2213,P0040,Smartphones,1385,1,North West,Organic
28/01/2024,C2843,P0013,Laptops,3059.34,2,Scotland,Organic
22/02/2024,C1356,P0032,Smartphones,3087.4,4,North East,Organic
06/03/2024,C1596,P0075,Smartphones,1101.79,1,North East,Paid
27/12/2023,C1224,P0015,Tablets,2367.4,4,North East,Paid
14/08/2023,C2000,P0046,Tablets,929.24,2,West Midlands,Paid
30/01/2023,C1593,P0075,Smartphones,3305.37,3,North East,Social
23/04/2024,C0523,P0067,Accessories,56.33,1,North East,Referral
28/01/2023,C0344,P0039,Networking,5567.68,4,North West,Social
06/07/2023,C0206,P0016,Smartphones,5749.71,3,North East,Paid
10/04/2024,C1339,P0043,Accessories,1716.27,3,North East,Organic
07/03/2024,C1034,P0021,Monitors,293.41,1,South West,Organic
23/02/2023,C1434,P0100,Laptops,3631.14,2,South East,Social
11/02/2023,C0128,P0008,Monitors,2447.88,2,Scotland,Social
06/06/2023,C0978,P0075,Smartphones,2203.58,2,South West,Referral
12/08/2023,C1905,P0044,Smartphones,5491.86,3,Wales,Organic
28/04/2023,C0671,P0067,Accessories,168.99,3,South East,Referral
16/11/2023,C2359,P0049,Tablets,1289.12,4,North East,Email
23/07/2023,C0312,P0008,Monitors,2447.88,2,South East,Referral
05/11/2023,C2803,P0034,Networking,1876.48,1,London,Paid
14/03/2024,C2710,P0004,Laptops,4108.68,3,South East,Paid
16/12/2023,C0052,P0032,Smartphones,3087.4,4,South West,Organic
06/01/2024,C2604,P0024,Monitors,7106.52,4,North West,Paid
18/06/2024,C2665,P0068,Networking,5273.73,3,South West,Paid
02/10/2023,C1321,P0080,Tablets,1033.86,2,South East,Organic
06/04/2024,C0999,P0036,Networking,1534.88,4,North East,Paid
21/05/2024,C1332,P0059,Accessories,1588.32,2,South West,Organic
22/09/2023,C1395,P0095,Smartphones,524.55,3,West Midlands,Referral
13/06/2024,C0783,P0021,Monitors,293.41,1,Scotland,Social
15/05/2024,C2275,P0003,Smartphones,644.2,2,South West,Referral
17/05/2024,C1836,P0035,Networking,189.23,1,South East,Organic
19/02/2024,C2834,P0016,Smartphones,3833.14,2,West Midlands,Referral
13/01/2024,C1939,P0073,Monitors,3712.47,3,North East,Email
05/12/2023,C1442,P0045,Monitors,7035.68,4,West Midlands,Paid
25/08/2023,C0495,P0067,Accessories,112.66,2,Wales,Organic
09/07/2023,C0785,P0051,Tablets,3013.36,2,South West,Organic
21/06/2024,C2445,P0045,Monitors,5276.76,3,South East,Social
31/10/2023,C0932,P0031,Networking,5029.56,3,North West,Paid
30/06/2024,C0519,P0056,Laptops,1044.12,3,London,Email
27/10/2023,C2857,P0012,Monitors,1184.94,2,South West,Organic
13/01/2023,C2352,P0099,Networking,494.4,3,South West,Paid
15/12/2023,C0756,P0035,Networking,189.23,1,West Midlands,Email
04/05/2024,C0468,P0008,Monitors,1223.94,1,North East,Paid
24/02/2023,C0622,P0100,Laptops,3631.14,2,West Midlands,Organic
12/09/2023,C0486,P0046,Tablets,1858.48,4,Scotland,Social
25/01/2024,C1846,P0035,Networking,756.92,4,West Midlands,Social
15/03/2024,C1251,P0028,Tablets,1971.18,1,South East,Email
01/08/2023,C2563,P0033,Smartphones,2713.68,2,West Midlands,Referral
10/06/2023,C0983,P0081,Smartphones,3524.24,2,South East,Organic
23/02/2024,C1846,P0053,Accessories,3023.56,4,West Midlands,Organic
23/10/2023,C2896,P0062,Laptops,4129.65,3,South West,Organic
28/08/2023,C1084,P0009,Monitors,875.46,2,North East,Organic
19/08/2023,C2653,P0019,Tablets,2454.54,2,West Midlands,Social
15/03/2023,C0245,P0044,Smartphones,3661.24,2,West Midlands,Referral
23/10/2023,C1799,P0044,Smartphones,1830.62,1,South West,Referral
17/02/2024,C1116,P0080,Tablets,2067.72,4,South West,Organic
10/02/2023,C1770,P0010,Networking,4252.74,3,West Midlands,Organic
23/08/2023,C2762,P0012,Monitors,592.47,1,West Midlands,Referral
29/06/2023,C1928,P0052,Accessories,7203,4,West Midlands,Organic
22/03/2024,C2601,P0075,Smartphones,4407.16,4,South East,Paid
23/02/2024,C1366,P0075,Smartphones,3305.37,3,South East,Social
04/12/2023,C1687,P0042,Laptops,6479.36,4,West Midlands,Referral
15/02/2024,C2254,P0018,Accessories,238.6,1,South West,Organic
16/09/2023,C1325,P0022,Accessories,203.66,1,North East,Social
02/01/2023,C2694,P0035,Networking,756.92,4,North East,Organic
14/06/2024,C1482,P0044,Smartphones,7322.48,4,South West,Social
28/07/2023,C1094,P0061,Monitors,3457.04,2,West Midlands,Paid
11/05/2024,C0498,P0022,Accessories,203.66,1,Scotland,Social
15/11/2023,C2257,P0038,Accessories,789.94,1,North East,Organic
27/04/2023,C1891,P0071,Laptops,1747.51,1,North West,Paid
26/10/2023,C2085,P0072,Tablets,5073.78,3,North East,Social
28/04/2024,C0999,P0078,Laptops,1072.56,4,North West,Paid
04/06/2024,C0560,P0095,Smartphones,174.85,1,West Midlands,Social
29/02/2024,C1393,P0042,Laptops,4859.52,3,London,Organic
02/11/2023,C2405,P0051,Tablets,6026.72,4,North West,Paid
10/05/2024,C1414,P0067,Accessories,168.99,3,North East,Paid
26/11/2023,C0773,P0075,Smartphones,2203.58,2,North East,Organic
25/02/2024,C0179,P0045,Monitors,5276.76,3,South West,Social
26/01/2024,C1582,P0044,Smartphones,3661.24,2,South West,Email
10/05/2023,C2058,P0094,Accessories,857.88,3,South East,Social
26/03/2024,C0409,P0005,Monitors,878.12,4,London,Social
24/02/2024,C2682,P0064,Monitors,3028.42,2,South East,Paid
29/09/2023,C1387,P0040,Smartphones,5540,4,South East,Social
30/06/2024,C1557,P0082,Laptops,651.06,3,South West,Social
06/02/2023,C2530,P0091,Tablets,828.03,1,Scotland,Referral
22/10/2023,C0932,P0051,Tablets,1506.68,1,North East,Email
13/04/2023,C1818,P0063,Laptops,2758.68,2,West Midlands,Email
17/02/2023,C1329,P0012,Monitors,592.47,1,West Midlands,Paid
17/03/2024,C0597,P0038,Accessories,1579.88,2,North East,Referral
04/07/2023,C0697,P0079,Tablets,3527.02,2,South East,Referral
27/01/2024,C2539,P0014,Smartphones,2822.74,2,South West,Email
27/05/2023,C0952,P0099,Networking,659.2,4,West Midlands,Paid
10/01/2023,C1906,P0024,Monitors,5329.89,3,North West,Organic
20/12/2023,C2407,P0069,Tablets,5835.54,3,North East,Referral
12/04/2024,C1238,P0062,Laptops,2753.1,2,North East,Social
20/04/2023,C0972,P0009,Monitors,1750.92,4,Wales,Referral
30/10/2023,C0090,P0002,Networking,2345.24,4,West Midlands,Organic
20/02/2023,C2484,P0006,Accessories,447.92,4,West Midlands,Social
24/08/2023,C2487,P0098,Laptops,565.32,3,Scotland,Referral
14/09/2023,C2777,P0056,Laptops,696.08,2,South East,Email
10/02/2023,C1266,P0061,Monitors,6914.08,4,London,Referral
15/05/2023,C0370,P0049,Tablets,966.84,3,Wales,Social
29/06/2023,C0823,P0020,Laptops,2945.96,2,Wales,Paid
07/10/2023,C0674,P0068,Networking,5273.73,3,South West,Email
30/10/2023,C1388,P0022,Accessories,203.66,1,South West,Email
25/05/2023,C0925,P0042,Laptops,6479.36,4,Wales,Organic
09/02/2024,C0058,P0016,Smartphones,5749.71,3,South East,Paid
26/09/2023,C2395,P0024,Monitors,7106.52,4,Wales,Organic
28/08/2023,C1932,P0095,Smartphones,174.85,1,Wales,Email
15/08/2023,C2653,P0029,Smartphones,1739.64,1,South West,Email
06/11/2023,C2660,P0091,Tablets,3312.12,4,South East,Organic
08/02/2023,C1247,P0013,Laptops,6118.68,4,South East,Organic
19/05/2023,C1592,P0073,Monitors,4949.96,4,Wales,Referral
05/03/2024,C2406,P0046,Tablets,929.24,2,North East,Referral
16/05/2024,C2522,P0051,Tablets,6026.72,4,West Midlands,Organic
15/01/2024,C0890,P0058,Accessories,4852,4,South West,Email
07/01/2024,C0407,P0023,Tablets,5002.02,3,Wales,Organic
10/10/2023,C0778,P0073,Monitors,1237.49,1,South West,Organic
06/08/2023,C2629,P0080,Tablets,516.93,1,London,Social
07/09/2023,C0516,P0002,Networking,1172.62,2,South East,Social
01/08/2023,C2402,P0013,Laptops,3059.34,2,Scotland,Paid
01/06/2023,C2442,P0094,Accessories,285.96,1,West Midlands,Social
29/05/2023,C0533,P0090,Networking,1326.72,3,North West,Organic
27/01/2023,C0540,P0058,Accessories,1213,1,Wales,Social
01/09/2023,C2412,P0083,Accessories,4923.75,3,London,Organic
23/02/2023,C0520,P0027,Networking,1977.6,4,South East,Social
02/05/2024,C1837,P0049,Tablets,966.84,3,South East,Paid
15/08/2023,C2520,P0024,Monitors,1776.63,1,West Midlands,Paid
01/02/2023,C0250,P0091,Tablets,3312.12,4,North East,Paid
21/04/2023,C2009,P0090,Networking,1768.96,4,South East,Social
26/11/2023,C2492,P0066,Tablets,1795.58,2,South East,Organic
29/11/2023,C1561,P0010,Networking,4252.74,3,South West,Paid
16/03/2024,C0407,P0076,Monitors,1841.06,1,Scotland,Paid
22/08/2023,C1695,P0077,Monitors,2046.3,3,South West,Paid
08/04/2023,C1281,P0072,Tablets,6765.04,4,Wales,Referral
19/01/2024,C0626,P0048,Networking,3779.04,4,South East,Organic
29/03/2023,C0382,P0016,Smartphones,7666.28,4,South East,Social
17/01/2024,C0533,P0058,Accessories,1213,1,Wales,Referral
25/02/2024,C1449,P0067,Accessories,225.32,4,London,Email
16/11/2023,C1441,P0069,Tablets,1945.18,1,Scotland,Organic
08/05/2024,C0919,P0005,Monitors,219.53,1,Wales,Social
12/01/2024,C0471,P0021,Monitors,880.23,3,Scotland,Social
27/01/2023,C2495,P0053,Accessories,2267.67,3,London,Organic
13/11/2023,C1392,P0015,Tablets,1775.55,3,London,Organic
27/05/2023,C2320,P0010,Networking,5670.32,4,South East,Organic
01/02/2023,C0376,P0068,Networking,3515.82,2,North East,Paid
16/12/2023,C0645,P0058,Accessories,3639,3,West Midlands,Social
28/03/2023,C0216,P0049,Tablets,644.56,2,North West,Social
20/02/2023,C2761,P0024,Monitors,1776.63,1,West Midlands,Paid
10/03/2024,C1990,P0073,Monitors,4949.96,4,North East,Organic
08/06/2024,C0467,P0079,Tablets,5290.53,3,North East,Organic
13/05/2024,C2159,P0054,Smartphones,3130.74,3,London,Organic
26/02/2023,C0032,P0022,Accessories,407.32,2,West Midlands,Email
21/05/2023,C1047,P0092,Networking,3951.78,3,Wales,Organic
24/05/2024,C1764,P0100,Laptops,3631.14,2,North West,Paid
24/08/2023,C2050,P0089,Monitors,4568.31,3,South East,Paid
13/02/2023,C1787,P0065,Networking,713.34,1,South West,Email
17/11/2023,C2359,P0007,Laptops,1905.36,4,North East,Social
03/03/2024,C1186,P0042,Laptops,1619.84,1,North East,Organic
29/11/2023,C0704,P0079,Tablets,7054.04,4,Wales,Organic
19/04/2023,C0997,P0026,Networking,742.52,4,North East,Paid
10/02/2024,C1271,P0043,Accessories,1716.27,3,Scotland,Paid
22/06/2023,C0313,P0015,Tablets,591.85,1,Scotland,Email
24/12/2023,C1439,P0095,Smartphones,349.7,2,Scotland,Organic
20/09/2023,C0809,P0029,Smartphones,3479.28,2,North West,Social
19/03/2023,C0726,P0043,Accessories,2288.36,4,South West,Social
04/04/2024,C2790,P0016,Smartphones,5749.71,3,Wales,Organic
11/03/2023,C1921,P0027,Networking,1977.6,4,West Midlands,Social
27/02/2023,C1442,P0094,Accessories,285.96,1,West Midlands,Paid
08/02/2023,C0234,P0072,Tablets,5073.78,3,West Midlands,Organic
03/04/2023,C2520,P0035,Networking,756.92,4,South West,Referral
12/02/2023,C1843,P0071,Laptops,3495.02,2,Wales,Referral
28/05/2024,C0618,P0087,Monitors,1751.24,1,South West,Organic
18/12/2023,C2926,P0049,Tablets,322.28,1,North West,Organic
24/03/2024,C1800,P0053,Accessories,1511.78,2,Wales,Paid
17/10/2023,C1587,P0020,Laptops,5891.92,4,Wales,Referral
23/02/2023,C2585,P0020,Laptops,4418.94,3,South East,Paid
31/01/2024,C1164,P0039,Networking,4175.76,3,North West,Paid
25/05/2023,C1433,P0067,Accessories,168.99,3,North East,Organic
28/03/2023,C1269,P0023,Tablets,6669.36,4,Wales,Social
23/06/2024,C0383,P0009,Monitors,1750.92,4,Wales,Organic
13/11/2023,C0739,P0041,Laptops,993.28,2,Wales,Email
12/05/2024,C0787,P0046,Tablets,929.24,2,North West,Organic
30/10/2023,C0415,P0036,Networking,383.72,1,Wales,Social
15/05/2023,C2447,P0029,Smartphones,6958.56,4,North West,Organic
19/06/2023,C2954,P0021,Monitors,1173.64,4,London,Paid
01/09/2023,C1820,P0054,Smartphones,3130.74,3,South West,Organic
02/09/2023,C1268,P0093,Accessories,7217,4,Scotland,Paid
27/03/2024,C1892,P0046,Tablets,1393.86,3,North East,Paid
04/03/2024,C0664,P0002,Networking,1172.62,2,North West,Social
23/02/2023,C2627,P0038,Accessories,3159.76,4,Wales,Referral
16/04/2023,C2914,P0058,Accessories,1213,1,West Midlands,Organic
14/06/2023,C1118,P0042,Laptops,6479.36,4,North West,Social
04/04/2023,C0910,P0033,Smartphones,5427.36,4,Wales,Email
29/02/2024,C0219,P0011,Accessories,1919.44,4,Wales,Organic
25/03/2023,C1536,P0086,Monitors,744,2,London,Paid
12/04/2023,C2928,P0016,Smartphones,5749.71,3,North West,Organic
21/10/2023,C1936,P0060,Accessories,2163.54,2,South West,Paid
06/01/2023,C0325,P0023,Tablets,1667.34,1,West Midlands,Organic
03/06/2023,C2248,P0014,Smartphones,5645.48,4,South East,Social
01/09/2023,C1234,P0026,Networking,185.63,1,London,Organic
13/04/2024,C0258,P0027,Networking,494.4,1,South West,Referral
17/01/2023,C2589,P0082,Laptops,434.04,2,North West,Organic
02/01/2023,C2519,P0007,Laptops,1429.02,3,Scotland,Referral
11/07/2023,C2722,P0082,Laptops,217.02,1,Wales,Organic
22/06/2024,C2229,P0044,Smartphones,1830.62,1,North East,Social
14/02/2023,C2604,P0047,Accessories,3285.92,4,Wales,Organic
17/01/2023,C1463,P0008,Monitors,1223.94,1,Wales,Organic
17/04/2023,C2384,P0030,Accessories,1776.15,3,North West,Organic
13/12/2023,C2633,P0001,Networking,534.2,2,South West,Email
05/05/2024,C2588,P0017,Tablets,498.62,2,North West,Organic
13/04/2024,C0152,P0029,Smartphones,5218.92,3,Scotland,Organic
24/07/2023,C0172,P0047,Accessories,2464.44,3,West Midlands,Paid
29/04/2024,C1038,P0090,Networking,442.24,1,Scotland,Organic
18/02/2023,C2686,P0083,Accessories,4923.75,3,West Midlands,Organic
12/01/2024,C1790,P0033,Smartphones,5427.36,4,South West,Social
31/01/2024,C1389,P0095,Smartphones,349.7,2,South West,Referral
12/01/2024,C2127,P0098,Laptops,565.32,3,South East,Social
22/03/2023,C1764,P0014,Smartphones,2822.74,2,West Midlands,Paid
23/03/2023,C1344,P0075,Smartphones,3305.37,3,West Midlands,Paid
12/03/2024,C0683,P0098,Laptops,753.76,4,Wales,Paid
28/12/2023,C2519,P0089,Monitors,6091.08,4,West Midlands,Referral
28/02/2023,C0308,P0061,Monitors,6914.08,4,Wales,Paid
13/06/2023,C0128,P0068,Networking,3515.82,2,South West,Organic
10/03/2023,C0967,P0014,Smartphones,4234.11,3,Wales,Paid
03/02/2023,C2479,P0010,Networking,2835.16,2,South West,Email
16/01/2024,C1819,P0025,Tablets,1175.84,1,North West,Paid
12/02/2024,C1288,P0066,Tablets,2693.37,3,Scotland,Email
27/01/2023,C0763,P0092,Networking,5269.04,4,North East,Email
01/05/2023,C1073,P0064,Monitors,4542.63,3,South West,Organic
20/10/2023,C2843,P0003,Smartphones,1288.4,4,Scotland,Organic
17/03/2023,C1852,P0040,Smartphones,2770,2,South West,Email
24/11/2023,C2736,P0009,Monitors,1313.19,3,South East,Paid
25/10/2023,C1229,P0003,Smartphones,644.2,2,North West,Social
04/06/2024,C0919,P0025,Tablets,1175.84,1,Scotland,Social
31/08/2023,C2024,P0066,Tablets,897.79,1,Wales,Referral
13/01/2024,C1915,P0055,Laptops,3047.56,2,South East,Organic
12/02/2024,C2937,P0052,Accessories,7203,4,North East,Social
17/03/2023,C0514,P0093,Accessories,5412.75,3,South East,Paid
13/06/2024,C1412,P0044,Smartphones,3661.24,2,North West,Social
13/05/2023,C1773,P0018,Accessories,238.6,1,South East,Paid
08/11/2023,C0675,P0080,Tablets,1033.86,2,Wales,Email
19/08/2023,C1418,P0072,Tablets,5073.78,3,South East,Organic
09/10/2023,C0513,P0020,Laptops,4418.94,3,South East,Paid
22/06/2023,C2425,P0095,Smartphones,349.7,2,North West,Referral
12/12/2023,C2309,P0057,Smartphones,1594.55,1,London,Organic
29/09/2023,C2668,P0018,Accessories,477.2,2,North East,Referral
01/02/2023,C2040,P0025,Tablets,3527.52,3,West Midlands,Paid
20/02/2024,C1219,P0099,Networking,659.2,4,South East,Referral
11/06/2023,C1801,P0090,Networking,1768.96,4,South West,Paid
15/12/2023,C2485,P0075,Smartphones,2203.58,2,Wales,Social
23/11/2023,C1415,P0043,Accessories,2288.36,4,North West,Social
11/06/2024,C2301,P0097,Smartphones,1197.46,1,Wales,Organic
06/05/2023,C1096,P0007,Laptops,1905.36,4,Scotland,Organic
21/02/2023,C1189,P0004,Laptops,5478.24,4,North East,Organic
13/06/2023,C1342,P0074,Smartphones,2337.39,3,Scotland,Social
25/05/2024,C2109,P0079,Tablets,7054.04,4,South West,Social
24/05/2024,C0095,P0022,Accessories,203.66,1,North East,Paid
04/09/2023,C0882,P0055,Laptops,4571.34,3,London,Organic
21/05/2024,C2448,P0051,Tablets,6026.72,4,West Midlands,Paid
21/04/2023,C1766,P0053,Accessories,1511.78,2,West Midlands,Social
17/02/2024,C1499,P0004,Laptops,1369.56,1,North East,Organic
19/07/2023,C1485,P0003,Smartphones,966.3,3,South East,Paid
06/04/2024,C2253,P0059,Accessories,2382.48,3,South East,Organic
10/04/2023,C1614,P0013,Laptops,4589.01,3,Wales,Referral
10/01/2024,C0591,P0093,Accessories,3608.5,2,North East,Paid
16/02/2023,C0160,P0035,Networking,378.46,2,Wales,Social
15/06/2024,C1872,P0020,Laptops,2945.96,2,North West,Paid
23/11/2023,C0666,P0046,Tablets,1858.48,4,West Midlands,Referral
03/06/2024,C2088,P0093,Accessories,7217,4,West Midlands,Paid
18/01/2023,C1509,P0054,Smartphones,3130.74,3,South East,Email
12/11/2023,C2971,P0018,Accessories,238.6,1,South West,Organic
22/08/2023,C2955,P0024,Monitors,1776.63,1,South West,Organic
25/01/2024,C0606,P0050,Networking,2289.34,2,London,Referral
23/04/2023,C0782,P0083,Accessories,1641.25,1,South West,Paid
05/06/2023,C1692,P0089,Monitors,3045.54,2,North East,Paid
27/04/2024,C2980,P0081,Smartphones,1762.12,1,North West,Paid
29/11/2023,C2713,P0032,Smartphones,3087.4,4,North East,Paid
27/06/2023,C1883,P0018,Accessories,715.8,3,Wales,Referral
28/09/2023,C2499,P0030,Accessories,2368.2,4,Scotland,Email
13/10/2023,C2286,P0001,Networking,801.3,3,Scotland,Email
01/11/2023,C1184,P0020,Laptops,2945.96,2,South West,Paid
24/12/2023,C2296,P0079,Tablets,5290.53,3,West Midlands,Organic
24/01/2024,C1617,P0046,Tablets,1393.86,3,North West,Organic
22/10/2023,C2926,P0059,Accessories,794.16,1,Wales,Email
20/09/2023,C1963,P0093,Accessories,3608.5,2,Scotland,Social
05/10/2023,C2303,P0087,Monitors,5253.72,3,North West,Organic
03/09/2023,C0994,P0009,Monitors,437.73,1,Scotland,Referral
23/02/2023,C0411,P0028,Tablets,7884.72,4,Wales,Social
13/04/2023,C2791,P0086,Monitors,744,2,London,Email
11/06/2023,C1667,P0002,Networking,2345.24,4,South West,Referral
22/10/2023,C1316,P0041,Laptops,1489.92,3,London,Email
02/04/2023,C2672,P0094,Accessories,571.92,2,London,Email
29/06/2023,C1712,P0063,Laptops,2758.68,2,London,Email
11/02/2024,C2030,P0033,Smartphones,2713.68,2,West Midlands,Social
10/01/2023,C1223,P0097,Smartphones,1197.46,1,Wales,Organic
20/06/2024,C2024,P0087,Monitors,3502.48,2,South West,Organic
26/04/2023,C1355,P0085,Smartphones,2673.02,2,South West,Referral
10/07/2023,C0058,P0057,Smartphones,4783.65,3,West Midlands,Referral
17/07/2023,C0719,P0017,Tablets,997.24,4,North East,Paid
30/03/2023,C1642,P0004,Laptops,1369.56,1,North West,Email
03/05/2024,C1326,P0074,Smartphones,1558.26,2,London,Organic
30/08/2023,C1830,P0073,Monitors,3712.47,3,Wales,Paid
12/01/2023,C1072,P0078,Laptops,804.42,3,Scotland,Organic
02/05/2023,C1907,P0009,Monitors,1313.19,3,North West,Paid
29/05/2024,C2882,P0070,Smartphones,3119.94,3,South East,Referral
30/10/2023,C1506,P0054,Smartphones,2087.16,2,Scotland,Email
04/05/2024,C0628,P0024,Monitors,7106.52,4,Wales,Paid
27/04/2024,C2202,P0059,Accessories,1588.32,2,Scotland,Referral
25/03/2023,C2153,P0008,Monitors,4895.76,4,Wales,Organic
25/04/2023,C0253,P0073,Monitors,2474.98,2,North West,Organic
16/06/2024,C1810,P0080,Tablets,516.93,1,Scotland,Social
15/05/2024,C0373,P0068,Networking,7031.64,4,London,Paid
09/06/2024,C1702,P0077,Monitors,2728.4,4,London,Referral
12/11/2023,C2963,P0061,Monitors,1728.52,1,North East,Organic
04/01/2023,C0893,P0033,Smartphones,1356.84,1,London,Paid
07/03/2023,C2217,P0090,Networking,442.24,1,South East,Email
28/04/2024,C0130,P0034,Networking,5629.44,3,North East,Organic
19/05/2023,C2628,P0081,Smartphones,7048.48,4,Wales,Email
27/01/2024,C1838,P0037,Networking,2109.52,4,North East,Organic
17/05/2023,C2677,P0067,Accessories,168.99,3,South East,Organic
07/02/2024,C2167,P0021,Monitors,586.82,2,Scotland,Social
24/01/2023,C1223,P0094,Accessories,1143.84,4,North East,Paid
24/08/2023,C1014,P0078,Laptops,1072.56,4,Wales,Organic
13/07/2023,C2970,P0037,Networking,527.38,1,London,Social
05/03/2024,C2519,P0055,Laptops,1523.78,1,Scotland,Organic
14/04/2023,C2433,P0049,Tablets,322.28,1,South West,Referral
19/02/2023,C1003,P0051,Tablets,1506.68,1,North East,Paid
11/08/2023,C0232,P0041,Laptops,993.28,2,West Midlands,Organic
23/11/2023,C2366,P0011,Accessories,1439.58,3,Scotland,Paid
27/05/2023,C2705,P0004,Laptops,2739.12,2,North East,Paid
04/03/2023,C2281,P0049,Tablets,644.56,2,North East,Referral
18/02/2023,C1411,P0083,Accessories,6565,4,Wales,Referral
23/02/2024,C0612,P0050,Networking,3434.01,3,North East,Organic
29/04/2024,C0988,P0064,Monitors,3028.42,2,West Midlands,Social
28/05/2023,C1897,P0100,Laptops,1815.57,1,North East,Email
26/06/2024,C0550,P0032,Smartphones,3087.4,4,Scotland,Organic
05/12/2023,C2649,P0003,Smartphones,322.1,1,South West,Social
05/04/2023,C2194,P0094,Accessories,571.92,2,London,Organic
10/02/2023,C0299,P0094,Accessories,571.92,2,Scotland,Paid
07/12/2023,C1242,P0049,Tablets,322.28,1,Scotland,Email
01/05/2023,C1962,P0073,Monitors,2474.98,2,Scotland,Paid
03/09/2023,C2262,P0081,Smartphones,5286.36,3,West Midlands,Paid
30/06/2024,C2658,P0098,Laptops,565.32,3,West Midlands,Organic
09/06/2024,C2037,P0010,Networking,5670.32,4,South East,Social
25/04/2024,C1312,P0022,Accessories,407.32,2,Wales,Paid
